layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
15,0.98033553,example_0006,natural,0.5,2048,bloat_sweep
16,0.9811392,example_0006,natural,0.5,2048,bloat_sweep
17,0.98661864,example_0006,natural,0.5,2048,bloat_sweep
18,0.989085,example_0006,natural,0.5,2048,bloat_sweep
19,0.9885054,example_0006,natural,0.5,2048,bloat_sweep
20,0.9916265,example_0006,natural,0.5,2048,bloat_sweep
21,0.9916722,example_0006,natural,0.5,2048,bloat_sweep
22,0.99128616,example_0006,natural,0.5,2048,bloat_sweep
23,0.99084747,example_0006,natural,0.5,2048,bloat_sweep
0,0.9995742,example_0007,natural,0.5,2048,bloat_sweep
1,0.9993222,example_0007,natural,0.5,2048,bloat_sweep
2,0.9985944,example_0007,natural,0.5,2048,bloat_sweep
3,0.9975134,example_0007,natural,0.5,2048,bloat_sweep
4,0.99683845,example_0007,natural,0.5,2048,bloat_sweep
5,0.99586326,example_0007,natural,0.5,2048,bloat_sweep
6,0.9933857,example_0007,natural,0.5,2048,bloat_sweep
7,0.9918828,example_0007,natural,0.5,2048,bloat_sweep
8,0.99085426,example_0007,natural,0.5,2048,bloat_sweep
9,0.99074125,example_0007,natural,0.5,2048,bloat_sweep
10,0.98924416,example_0007,natural,0.5,2048,bloat_sweep
11,0.98725575,example_0007,natural,0.5,2048,bloat_sweep
12,0.98011595,example_0007,natural,0.5,2048,bloat_sweep
13,0.9729096,example_0007,natural,0.5,2048,bloat_sweep
14,0.9794549,example_0007,natural,0.5,2048,bloat_sweep
15,0.9738453,example_0007,natural,0.5,2048,bloat_sweep
16,0.97103494,example_0007,natural,0.5,2048,bloat_sweep
17,0.9793282,example_0007,natural,0.5,2048,bloat_sweep
18,0.9840072,example_0007,natural,0.5,2048,bloat_sweep
19,0.97992176,example_0007,natural,0.5,2048,bloat_sweep
20,0.98810875,example_0007,natural,0.5,2048,bloat_sweep
21,0.9886651,example_0007,natural,0.5,2048,bloat_sweep
22,0.98899245,example_0007,natural,0.5,2048,bloat_sweep
23,0.9846022,example_0007,natural,0.5,2048,bloat_sweep
0,0.999322,example_0000,natural,0.5,4096,bloat_sweep
1,0.99878454,example_0000,natural,0.5,4096,bloat_sweep
2,0.99835336,example_0000,natural,0.5,4096,bloat_sweep
3,0.9971764,example_0000,natural,0.5,4096,bloat_sweep
4,0.9957689,example_0000,natural,0.5,4096,bloat_sweep
5,0.9896921,example_0000,natural,0.5,4096,bloat_sweep
6,0.98512536,example_0000,natural,0.5,4096,bloat_sweep
7,0.9817265,example_0000,natural,0.5,4096,bloat_sweep
8,0.9794591,example_0000,natural,0.5,4096,bloat_sweep
9,0.9804852,example_0000,natural,0.5,4096,bloat_sweep
10,0.97851753,example_0000,natural,0.5,4096,bloat_sweep
11,0.9756193,example_0000,natural,0.5,4096,bloat_sweep
12,0.9494859,example_0000,natural,0.5,4096,bloat_sweep
