layer,cosine_similarity,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
0,0.99989927,example_0000,natural,256,4096,sink_stress
1,0.99954784,example_0000,natural,256,4096,sink_stress
2,0.99921584,example_0000,natural,256,4096,sink_stress
3,0.9984525,example_0000,natural,256,4096,sink_stress
4,0.9933717,example_0000,natural,256,4096,sink_stress
5,0.96937746,example_0000,natural,256,4096,sink_stress
6,0.96688735,example_0000,natural,256,4096,sink_stress
7,0.96276265,example_0000,natural,256,4096,sink_stress
8,0.96160054,example_0000,natural,256,4096,sink_stress
9,0.9640387,example_0000,natural,256,4096,sink_stress
10,0.9604737,example_0000,natural,256,4096,sink_stress
11,0.94804555,example_0000,natural,256,4096,sink_stress
12,0.9288349,example_0000,natural,256,4096,sink_stress
13,0.9226028,example_0000,natural,256,4096,sink_stress
14,0.9339666,example_0000,natural,256,4096,sink_stress
15,0.93975943,example_0000,natural,256,4096,sink_stress
16,0.9434564,example_0000,natural,256,4096,sink_stress
17,0.95239717,example_0000,natural,256,4096,sink_stress
18,0.9606785,example_0000,natural,256,4096,sink_stress
19,0.94771165,example_0000,natural,256,4096,sink_stress
20,0.96502274,example_0000,natural,256,4096,sink_stress
21,0.97750324,example_0000,natural,256,4096,sink_stress
22,0.97543806,example_0000,natural,256,4096,sink_stress
23,0.93522704,example_0000,natural,256,4096,sink_stress
0,0.9999031,example_0001,natural,256,4096,sink_stress
1,0.99940896,example_0001,natural,256,4096,sink_stress
2,0.9991315,example_0001,natural,256,4096,sink_stress
3,0.9967236,example_0001,natural,256,4096,sink_stress
4,0.9896883,example_0001,natural,256,4096,sink_stress
5,0.9628469,example_0001,natural,256,4096,sink_stress
6,0.9617269,example_0001,natural,256,4096,sink_stress
7,0.9591581,example_0001,natural,256,4096,sink_stress
8,0.9590325,example_0001,natural,256,4096,sink_stress
9,0.96334696,example_0001,natural,256,4096,sink_stress
10,0.9604377,example_0001,natural,256,4096,sink_stress
11,0.9483897,example_0001,natural,256,4096,sink_stress
12,0.9267709,example_0001,natural,256,4096,sink_stress
13,0.9272382,example_0001,natural,256,4096,sink_stress
14,0.9293405,example_0001,natural,256,4096,sink_stress
15,0.93682957,example_0001,natural,256,4096,sink_stress
16,0.9312472,example_0001,natural,256,4096,sink_stress
17,0.94994366,example_0001,natural,256,4096,sink_stress
18,0.960973,example_0001,natural,256,4096,sink_stress
19,0.9509353,example_0001,natural,256,4096,sink_stress
20,0.9721587,example_0001,natural,256,4096,sink_stress
21,0.9806642,example_0001,natural,256,4096,sink_stress
22,0.9808104,example_0001,natural,256,4096,sink_stress
23,0.9690953,example_0001,natural,256,4096,sink_stress
0,0.9999095,example_0002,natural,256,4096,sink_stress
1,0.999539,example_0002,natural,256,4096,sink_stress
2,0.9991902,example_0002,natural,256,4096,sink_stress
3,0.9988117,example_0002,natural,256,4096,sink_stress
4,0.99347836,example_0002,natural,256,4096,sink_stress
5,0.97115254,example_0002,natural,256,4096,sink_stress
6,0.96682274,example_0002,natural,256,4096,sink_stress
7,0.96217227,example_0002,natural,256,4096,sink_stress
8,0.95998037,example_0002,natural,256,4096,sink_stress
9,0.9629056,example_0002,natural,256,4096,sink_stress
10,0.96132916,example_0002,natural,256,4096,sink_stress
11,0.9481193,example_0002,natural,256,4096,sink_stress
12,0.92840964,example_0002,natural,256,4096,sink_stress
13,0.92629504,example_0002,natural,256,4096,sink_stress
14,0.9349586,example_0002,natural,256,4096,sink_stress
15,0.94616973,example_0002,natural,256,4096,sink_stress
16,0.9456368,example_0002,natural,256,4096,sink_stress
17,0.95728385,example_0002,natural,256,4096,sink_stress
18,0.9670564,example_0002,natural,256,4096,sink_stress
19,0.9559793,example_0002,natural,256,4096,sink_stress
20,0.974708,example_0002,natural,256,4096,sink_stress
21,0.9811487,example_0002,natural,256,4096,sink_stress
22,0.9780882,example_0002,natural,256,4096,sink_stress
23,0.946158,example_0002,natural,256,4096,sink_stress
0,0.999684,example_0003,natural,256,4096,sink_stress
1,0.99895614,example_0003,natural,256,4096,sink_stress
2,0.9978659,example_0003,natural,256,4096,sink_stress
3,0.9959263,example_0003,natural,256,4096,sink_stress
4,0.9884755,example_0003,natural,256,4096,sink_stress
5,0.9605521,example_0003,natural,256,4096,sink_stress
6,0.95978194,example_0003,natural,256,4096,sink_stress
7,0.95432645,example_0003,natural,256,4096,sink_stress
8,0.95410866,example_0003,natural,256,4096,sink_stress
9,0.95942634,example_0003,natural,256,4096,sink_stress
10,0.95812047,example_0003,natural,256,4096,sink_stress
11,0.94607973,example_0003,natural,256,4096,sink_stress
12,0.9243674,example_0003,natural,256,4096,sink_stress
13,0.9265373,example_0003,natural,256,4096,sink_stress
14,0.93160915,example_0003,natural,256,4096,sink_stress
15,0.93910265,example_0003,natural,256,4096,sink_stress
16,0.9372703,example_0003,natural,256,4096,sink_stress
17,0.9501256,example_0003,natural,256,4096,sink_stress
18,0.96042454,example_0003,natural,256,4096,sink_stress
19,0.9493721,example_0003,natural,256,4096,sink_stress
20,0.9702118,example_0003,natural,256,4096,sink_stress
21,0.97841805,example_0003,natural,256,4096,sink_stress
22,0.9786655,example_0003,natural,256,4096,sink_stress
23,0.9535353,example_0003,natural,256,4096,sink_stress
0,0.99991506,example_0004,natural,256,4096,sink_stress
