layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
5,11,1.8477439880371094e-05,0.6569840908050537,1.8474810251779482e-05,35556.012903225805,example_0000,natural,0,4096,sink_stress
5,12,0.00012993812561035156,0.2218976616859436,0.0001299435162953938,1707.717889908257,example_0000,natural,0,4096,sink_stress
5,13,7.408857345581055e-05,0.6836784482002258,7.408379562694619e-05,9227.85277554304,example_0000,natural,0,4096,sink_stress
6,0,0.0016057491302490234,0.5166481137275696,0.001605578018814466,321.74896065330364,example_0000,natural,0,4096,sink_stress
6,1,3.4928321838378906e-05,0.11966115236282349,3.492975215552633e-05,3425.90614334471,example_0000,natural,0,4096,sink_stress
6,2,0.0004126429557800293,0.3956645727157593,0.0004126349870123987,958.8545428282537,example_0000,natural,0,4096,sink_stress
6,3,0.000628352165222168,0.27261388301849365,0.0006283160628864394,433.85524568393095,example_0000,natural,0,4096,sink_stress
6,4,9.417533874511719e-06,0.24699020385742188,9.417352007505272e-06,26226.632911392404,example_0000,natural,0,4096,sink_stress
6,5,6.03795051574707e-05,0.2984200716018677,6.0378087224580854e-05,4942.406712734452,example_0000,natural,0,4096,sink_stress
6,6,9.655952453613281e-06,0.15314364433288574,9.656483705905708e-06,15860.024691358025,example_0000,natural,0,4096,sink_stress
6,7,0.00014352798461914062,0.7889187932014465,0.00014349922869164578,5496.620016611296,example_0000,natural,0,4096,sink_stress
6,8,0.00018405914306640625,0.8208423852920532,0.00018406715208417305,4459.666450777202,example_0000,natural,0,4096,sink_stress
6,9,6.318092346191406e-06,0.19928860664367676,6.31763821413003e-06,31542.528301886792,example_0000,natural,0,4096,sink_stress
6,10,3.814697265625e-06,0.44824647903442383,3.814944209421363e-06,117505.125,example_0000,natural,0,4096,sink_stress
6,11,0.0001633167266845703,0.7290846109390259,0.00016335432973035684,4464.237226277372,example_0000,natural,0,4096,sink_stress
6,12,6.973743438720703e-06,0.3649377226829529,6.972195836466849e-06,52330.24786324786,example_0000,natural,0,4096,sink_stress
6,13,0.00014913082122802734,0.4848784804344177,0.0001491325279143667,3251.363309352518,example_0000,natural,0,4096,sink_stress
7,0,0.0,0.806154727935791,0.0,80615472.7935791,example_0000,natural,0,4096,sink_stress
7,1,6.854534149169922e-06,0.5047339797019958,6.855502578086261e-06,73635.05217391305,example_0000,natural,0,4096,sink_stress
7,2,4.172325134277344e-07,0.7519855499267578,4.1718631195023036e-07,1802317.7142857143,example_0000,natural,0,4096,sink_stress
7,3,0.0,0.4910042881965637,0.0,49100428.81965637,example_0000,natural,0,4096,sink_stress
7,4,6.556510925292969e-07,0.4364203214645386,6.556131872658939e-07,665628.9090909091,example_0000,natural,0,4096,sink_stress
7,5,2.980232238769531e-07,0.7490406632423401,2.9807090892312227e-07,2513363.4,example_0000,natural,0,4096,sink_stress
7,6,0.0,0.07123076915740967,0.0,7123076.915740967,example_0000,natural,0,4096,sink_stress
7,7,1.1920928955078125e-07,0.7177742123603821,1.192124089150139e-07,6021126.5,example_0000,natural,0,4096,sink_stress
7,8,0.00044929981231689453,0.6004819869995117,0.00044927838905386665,1336.4839479968161,example_0000,natural,0,4096,sink_stress
7,9,4.76837158203125e-07,0.7134077548980713,4.769530616779602e-07,1496124.5,example_0000,natural,0,4096,sink_stress
7,10,0.0,0.3669489622116089,0.0,36694896.22116089,example_0000,natural,0,4096,sink_stress
7,11,0.0,0.7246096134185791,0.0,72460961.34185791,example_0000,natural,0,4096,sink_stress
7,12,5.960464477539063e-08,0.4270141124725342,5.960870580379568e-08,7164108.0,example_0000,natural,0,4096,sink_stress
7,13,0.000503242015838623,0.39459848403930664,0.0005032801430858291,784.1127561293379,example_0000,natural,0,4096,sink_stress
8,0,0.000512242317199707,0.14638948440551758,0.0005122582554107502,285.7817081684897,example_0000,natural,0,4096,sink_stress
8,1,2.5928020477294922e-05,0.06854450702667236,2.59245128247671e-05,2643.6459770114943,example_0000,natural,0,4096,sink_stress
8,2,8.404254913330078e-06,0.023659706115722656,8.404700767021337e-06,2815.205673758865,example_0000,natural,0,4096,sink_stress
8,3,0.0,0.0,0.0,0.0,example_0000,natural,0,4096,sink_stress
8,4,5.364418029785156e-07,0.023484408855438232,5.36471476884517e-07,43778.11111111111,example_0000,natural,0,4096,sink_stress
8,5,2.562999725341797e-06,0.04603874683380127,2.5624449968201845e-06,17962.837209302324,example_0000,natural,0,4096,sink_stress
8,6,5.2869319915771484e-05,0.3737560510635376,5.2866811634179304e-05,7069.431792559189,example_0000,natural,0,4096,sink_stress
8,7,0.0,0.06415224075317383,0.0,6415224.075317383,example_0000,natural,0,4096,sink_stress
8,8,0.0,0.3527924418449402,0.0,35279244.18449402,example_0000,natural,0,4096,sink_stress
8,9,0.0,0.36254948377609253,0.0,36254948.37760925,example_0000,natural,0,4096,sink_stress
8,10,5.364418029785156e-07,0.4292069673538208,5.364224911222078e-07,800099.7777777778,example_0000,natural,0,4096,sink_stress
8,11,8.344650268554688e-07,0.5332466959953308,8.344558751654011e-07,639028.2142857143,example_0000,natural,0,4096,sink_stress
8,12,0.0,0.4389696717262268,0.0,43896967.17262268,example_0000,natural,0,4096,sink_stress
8,13,5.960464477539063e-08,0.3332645893096924,5.96094839642739e-08,5591252.0,example_0000,natural,0,4096,sink_stress
9,0,1.7881393432617188e-07,0.47555631399154663,1.7881333747226606e-07,2659503.6666666665,example_0000,natural,0,4096,sink_stress
