layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,correct_location,total_tokens,experiment
4,11,8.52346420288086e-06,0.18823254108428955,8.523458106428547e-06,22084.04195804196,example_0000,natural,front,4096,competition_sweep
4,12,2.384185791015625e-07,0.18029475212097168,2.384809668638447e-07,756211.0,example_0000,natural,front,4096,competition_sweep
4,13,0.0014191269874572754,0.45161324739456177,0.0014192599699898256,318.23314712923684,example_0000,natural,front,4096,competition_sweep
5,0,0.0018182992935180664,0.5105401873588562,0.0018184741257885038,280.7789615157674,example_0000,natural,front,4096,competition_sweep
5,1,1.4007091522216797e-05,0.21293151378631592,1.400731277095582e-05,15201.693617021276,example_0000,natural,front,4096,competition_sweep
5,2,0.0008481144905090332,0.6580318212509155,0.0008481645395096609,775.8761683885024,example_0000,natural,front,4096,competition_sweep
5,3,5.0187110900878906e-05,0.11585700511932373,5.018691347025102e-05,2308.501187648456,example_0000,natural,front,4096,competition_sweep
5,4,2.300739288330078e-05,0.2227243185043335,2.3006811446663534e-05,9680.554404145078,example_0000,natural,front,4096,competition_sweep
5,5,8.404254913330078e-06,0.5610100030899048,8.405051471700669e-06,66753.09219858157,example_0000,natural,front,4096,competition_sweep
5,6,4.762411117553711e-05,0.1695718765258789,4.762441207097051e-05,3560.630788485607,example_0000,natural,front,4096,competition_sweep
5,7,0.0017713308334350586,0.6861803531646729,0.0017713995683860193,387.3812504206205,example_0000,natural,front,4096,competition_sweep
5,8,0.0004686713218688965,0.3221317529678345,0.00046869484430902647,687.3297723515198,example_0000,natural,front,4096,competition_sweep
5,9,4.231929779052734e-06,0.08943051099777222,4.232544079114953e-06,21132.323943661973,example_0000,natural,front,4096,competition_sweep
5,10,0.00014156103134155273,0.5541229844093323,0.00014158731964234627,3914.3751578947367,example_0000,natural,front,4096,competition_sweep
5,11,1.615285873413086e-05,0.7138598561286926,1.615467089954811e-05,44194.0258302583,example_0000,natural,front,4096,competition_sweep
5,12,2.3424625396728516e-05,0.24603760242462158,2.342761787087305e-05,10503.374045801527,example_0000,natural,front,4096,competition_sweep
5,13,0.00015807151794433594,0.42530012130737305,0.00015809222976690695,2690.555052790347,example_0000,natural,front,4096,competition_sweep
6,0,0.0008862614631652832,0.37111806869506836,0.0008861951195555829,418.7455780482884,example_0000,natural,front,4096,competition_sweep
6,1,5.030632019042969e-05,0.10755586624145508,5.030318996129515e-05,2138.0189573459716,example_0000,natural,front,4096,competition_sweep
6,2,0.00020617246627807617,0.35403215885162354,0.00020615649202825804,1717.1650766117375,example_0000,natural,front,4096,competition_sweep
6,3,0.00024044513702392578,0.2419281005859375,0.00024044821836751394,1006.1675756073377,example_0000,natural,front,4096,competition_sweep
6,4,0.00022739171981811523,0.20794057846069336,0.00022742922882295567,914.4597640891219,example_0000,natural,front,4096,competition_sweep
6,5,0.0002193450927734375,0.21644902229309082,0.00021931212513568447,986.7967391304347,example_0000,natural,front,4096,competition_sweep
6,6,0.00011581182479858398,0.12081056833267212,0.00011584195699097566,1043.1626351003604,example_0000,natural,front,4096,competition_sweep
6,7,8.726119995117188e-05,0.358636736869812,8.726159004087764e-05,4109.922131147541,example_0000,natural,front,4096,competition_sweep
