layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
10,0.99005586,example_0005,natural,0.1,4096,position_sweep
11,0.9880543,example_0005,natural,0.1,4096,position_sweep
12,0.9817077,example_0005,natural,0.1,4096,position_sweep
13,0.97497016,example_0005,natural,0.1,4096,position_sweep
14,0.97712606,example_0005,natural,0.1,4096,position_sweep
15,0.97068495,example_0005,natural,0.1,4096,position_sweep
16,0.9560954,example_0005,natural,0.1,4096,position_sweep
17,0.96534705,example_0005,natural,0.1,4096,position_sweep
18,0.96959835,example_0005,natural,0.1,4096,position_sweep
19,0.963409,example_0005,natural,0.1,4096,position_sweep
20,0.96703863,example_0005,natural,0.1,4096,position_sweep
21,0.9755525,example_0005,natural,0.1,4096,position_sweep
22,0.97722566,example_0005,natural,0.1,4096,position_sweep
23,0.96628445,example_0005,natural,0.1,4096,position_sweep
0,0.99966526,example_0006,natural,0.1,4096,position_sweep
1,0.9995773,example_0006,natural,0.1,4096,position_sweep
2,0.99935794,example_0006,natural,0.1,4096,position_sweep
3,0.99566627,example_0006,natural,0.1,4096,position_sweep
4,0.9952382,example_0006,natural,0.1,4096,position_sweep
5,0.99027795,example_0006,natural,0.1,4096,position_sweep
6,0.98921245,example_0006,natural,0.1,4096,position_sweep
7,0.9872598,example_0006,natural,0.1,4096,position_sweep
8,0.9879925,example_0006,natural,0.1,4096,position_sweep
9,0.98784363,example_0006,natural,0.1,4096,position_sweep
10,0.9874381,example_0006,natural,0.1,4096,position_sweep
11,0.98504883,example_0006,natural,0.1,4096,position_sweep
12,0.9750285,example_0006,natural,0.1,4096,position_sweep
13,0.96656823,example_0006,natural,0.1,4096,position_sweep
14,0.9653832,example_0006,natural,0.1,4096,position_sweep
15,0.96302855,example_0006,natural,0.1,4096,position_sweep
16,0.93223095,example_0006,natural,0.1,4096,position_sweep
17,0.93787473,example_0006,natural,0.1,4096,position_sweep
18,0.9415808,example_0006,natural,0.1,4096,position_sweep
19,0.9300045,example_0006,natural,0.1,4096,position_sweep
20,0.958105,example_0006,natural,0.1,4096,position_sweep
21,0.96100026,example_0006,natural,0.1,4096,position_sweep
22,0.95400196,example_0006,natural,0.1,4096,position_sweep
23,0.93909127,example_0006,natural,0.1,4096,position_sweep
0,0.9998462,example_0007,natural,0.1,4096,position_sweep
1,0.9996398,example_0007,natural,0.1,4096,position_sweep
2,0.9994448,example_0007,natural,0.1,4096,position_sweep
3,0.9989885,example_0007,natural,0.1,4096,position_sweep
4,0.9986622,example_0007,natural,0.1,4096,position_sweep
5,0.9958825,example_0007,natural,0.1,4096,position_sweep
6,0.9951478,example_0007,natural,0.1,4096,position_sweep
7,0.99421674,example_0007,natural,0.1,4096,position_sweep
8,0.9941937,example_0007,natural,0.1,4096,position_sweep
9,0.99469095,example_0007,natural,0.1,4096,position_sweep
10,0.99451745,example_0007,natural,0.1,4096,position_sweep
11,0.9916844,example_0007,natural,0.1,4096,position_sweep
12,0.98190194,example_0007,natural,0.1,4096,position_sweep
13,0.97548425,example_0007,natural,0.1,4096,position_sweep
14,0.97006214,example_0007,natural,0.1,4096,position_sweep
15,0.96061546,example_0007,natural,0.1,4096,position_sweep
16,0.95472986,example_0007,natural,0.1,4096,position_sweep
17,0.9645659,example_0007,natural,0.1,4096,position_sweep
18,0.9717363,example_0007,natural,0.1,4096,position_sweep
19,0.95959145,example_0007,natural,0.1,4096,position_sweep
20,0.9761894,example_0007,natural,0.1,4096,position_sweep
21,0.9794972,example_0007,natural,0.1,4096,position_sweep
22,0.9785456,example_0007,natural,0.1,4096,position_sweep
23,0.9706233,example_0007,natural,0.1,4096,position_sweep
0,0.99971056,example_0000,natural,0.3,4096,position_sweep
1,0.9994006,example_0000,natural,0.3,4096,position_sweep
2,0.99884963,example_0000,natural,0.3,4096,position_sweep
3,0.9975801,example_0000,natural,0.3,4096,position_sweep
4,0.9969645,example_0000,natural,0.3,4096,position_sweep
5,0.99224067,example_0000,natural,0.3,4096,position_sweep
6,0.9905828,example_0000,natural,0.3,4096,position_sweep
7,0.98866457,example_0000,natural,0.3,4096,position_sweep
8,0.9884329,example_0000,natural,0.3,4096,position_sweep
9,0.9881011,example_0000,natural,0.3,4096,position_sweep
10,0.987533,example_0000,natural,0.3,4096,position_sweep
11,0.984789,example_0000,natural,0.3,4096,position_sweep
12,0.9807225,example_0000,natural,0.3,4096,position_sweep
13,0.9786556,example_0000,natural,0.3,4096,position_sweep
14,0.9812695,example_0000,natural,0.3,4096,position_sweep
15,0.97715926,example_0000,natural,0.3,4096,position_sweep
16,0.97633994,example_0000,natural,0.3,4096,position_sweep
17,0.9829924,example_0000,natural,0.3,4096,position_sweep
18,0.98530143,example_0000,natural,0.3,4096,position_sweep
19,0.9829063,example_0000,natural,0.3,4096,position_sweep
20,0.98824424,example_0000,natural,0.3,4096,position_sweep
21,0.9919139,example_0000,natural,0.3,4096,position_sweep
22,0.99236906,example_0000,natural,0.3,4096,position_sweep
23,0.99015355,example_0000,natural,0.3,4096,position_sweep
0,0.999709,example_0001,natural,0.3,4096,position_sweep
1,0.99937695,example_0001,natural,0.3,4096,position_sweep
2,0.9985963,example_0001,natural,0.3,4096,position_sweep
3,0.9971086,example_0001,natural,0.3,4096,position_sweep
4,0.99556625,example_0001,natural,0.3,4096,position_sweep
5,0.99300396,example_0001,natural,0.3,4096,position_sweep
6,0.9908857,example_0001,natural,0.3,4096,position_sweep
7,0.9875178,example_0001,natural,0.3,4096,position_sweep
8,0.98582554,example_0001,natural,0.3,4096,position_sweep
9,0.9852309,example_0001,natural,0.3,4096,position_sweep
10,0.98488945,example_0001,natural,0.3,4096,position_sweep
11,0.9817203,example_0001,natural,0.3,4096,position_sweep
12,0.9796444,example_0001,natural,0.3,4096,position_sweep
13,0.9785969,example_0001,natural,0.3,4096,position_sweep
14,0.9760856,example_0001,natural,0.3,4096,position_sweep
15,0.9730662,example_0001,natural,0.3,4096,position_sweep
16,0.9683397,example_0001,natural,0.3,4096,position_sweep
17,0.9760639,example_0001,natural,0.3,4096,position_sweep
18,0.97921485,example_0001,natural,0.3,4096,position_sweep
19,0.97374153,example_0001,natural,0.3,4096,position_sweep
20,0.9808104,example_0001,natural,0.3,4096,position_sweep
21,0.9866236,example_0001,natural,0.3,4096,position_sweep
22,0.9869316,example_0001,natural,0.3,4096,position_sweep
23,0.98287654,example_0001,natural,0.3,4096,position_sweep
0,0.9998602,example_0002,natural,0.3,4096,position_sweep
1,0.99949247,example_0002,natural,0.3,4096,position_sweep
2,0.99853516,example_0002,natural,0.3,4096,position_sweep
3,0.9968919,example_0002,natural,0.3,4096,position_sweep
4,0.99543774,example_0002,natural,0.3,4096,position_sweep
5,0.9934657,example_0002,natural,0.3,4096,position_sweep
6,0.99259925,example_0002,natural,0.3,4096,position_sweep
